MSIDN,EventType,EventDateAndTime,ServiceClass,RechargeAmount,PaymentMethod,Category,Location
971763795598,10,270120250924,560,81,02,BSC,X11
971393956758,10,270120250924,406,62819,03,STD,X10
971923847954,10,270120250924,305,5742,03,YTH,X11
971826216705,10,270120250924,477,32,01,SPL,X11
971636079965,10,270120250924,579,97,02,BSC,X11
971543032744,10,270120250924,578,29,01,SPL,X10
971500827063,10,270120250924,380,180,02,SPL,X10
971808666909,10,270120250924,496,44,01,BSC,X13
971414859908,10,270120250924,092,161,02,YTH,X11
971311359102,10,270120250924,141,4094,01,BSC,X10
971164932970,10,270120250924,473,9682,02,SPL,X10
971364591465,10,270120250924,352,291,02,SPL,X10
971779760053,10,270120250924,018,16,01,YTH,X10
971179575290,10,270120250924,467,65,03,SPL,X12
971249921864,10,270120250924,029,61632,02,SPL,X13
971520382329,10,270120250924,290,96483,03,STD,X13
971840626974,10,270120250924,368,4358,03,SPL,X12
971711135386,10,270120250924,239,30702,01,SPL,X12
971858256008,10,270120250924,472,8217,03,YTH,X13
971807803146,10,270120250924,076,9970,02,SPL,X12
971705273000,10,270120250924,147,9454,03,STD,X13
971560323518,10,270120250924,026,618,02,SPL,X10
971918108343,10,270120250924,055,5617,02,BSC,X13
971076084851,10,270120250924,025,77044,03,YTH,X11
971009852903,10,270120250924,388,34,02,STD,X13
971681098490,10,270120250924,059,452,02,STD,X10
971051092989,10,270120250924,340,5598,02,STD,X10
971762051555,10,270120250924,573,3136,01,BSC,X10
971943580153,10,270120250924,091,271,01,BSC,X12
971077433830,10,270120250924,435,731,02,BSC,X10
971343940698,10,270120250924,065,7600,03,BSC,X11
971620639176,10,270120250924,370,44788,03,BSC,X11
971931145488,10,270120250924,510,9696,01,YTH,X12
971247627165,10,270120250924,106,3449,03,SPL,X11
971168451135,10,270120250924,508,393,02,BSC,X10
971687746957,10,270120250924,167,31211,03,BSC,X12
971811991818,10,270120250924,191,962,02,STD,X11
971769708046,10,270120250924,021,5011,01,SPL,X12
971887248566,10,270120250924,340,73,01,STD,X12
971676811916,10,270120250924,012,579,03,BSC,X10
971766182320,10,270120250924,393,9037,03,BSC,X12
971356415740,10,270120250924,074,52597,01,STD,X13
971905848036,10,270120250924,282,39561,02,SPL,X12
971740001294,10,270120250924,268,99,01,SPL,X10
971166731027,10,270120250924,537,20,02,STD,X13
971267173487,10,270120250924,402,520,02,STD,X13
971919037972,10,270120250924,377,706,01,SPL,X11
971275892561,10,270120250924,462,21718,01,BSC,X11
971887256928,10,270120250924,584,301,03,BSC,X13
971193212568,10,270120250924,106,28,02,STD,X11
971576755174,10,270120250924,492,33,02,BSC,X12
971956665913,10,270120250924,474,86,01,YTH,X13
971187264550,10,270120250924,514,24,03,SPL,X13
971763672335,10,270120250924,054,35,02,YTH,X13
971448292119,10,270120250924,078,474,03,STD,X12
971727125358,10,270120250924,531,163,02,YTH,X13
971678648028,10,270120250924,208,8366,01,YTH,X13
971668745283,10,270120250924,490,662,01,BSC,X12
971875998026,10,270120250924,563,3054,03,BSC,X10
971214868930,10,270120250924,121,8365,02,YTH,X13
971412162111,10,270120250924,082,16784,01,SPL,X12
971814538063,10,270120250924,226,2523,01,STD,X11
971301811972,10,270120250924,410,16909,01,STD,X11
971500340708,10,270120250924,020,4887,03,SPL,X11
971619821696,10,270120250924,262,2573,01,YTH,X10
971519190379,10,270120250924,310,23565,01,STD,X11
971269624117,10,270120250924,577,49020,01,SPL,X10
971511258504,10,270120250924,405,35020,03,BSC,X12
971272829238,10,270120250924,497,116,01,YTH,X12
971760082566,10,270120250924,156,760,01,YTH,X12
971778510009,10,270120250924,573,96883,02,YTH,X13
971380974779,10,270120250924,100,97,02,BSC,X12
971395905270,10,270120250924,055,31,02,BSC,X13
971263221848,10,270120250924,262,3437,02,YTH,X13
971302512135,10,270120250924,391,6588,02,YTH,X10
971588281392,10,270120250924,091,15887,03,STD,X12
971005052032,10,270120250924,357,41343,01,SPL,X13
971175565780,10,270120250924,139,9625,01,YTH,X12
971421271787,10,270120250924,099,11,01,YTH,X13
971301552573,10,270120250924,523,2480,02,STD,X11
971388309815,10,270120250924,105,586,01,SPL,X10
971255576670,10,270120250924,019,9084,02,YTH,X13
971318758796,10,270120250924,317,61740,02,STD,X13
971910957255,10,270120250924,088,50,01,STD,X12
971911387980,10,270120250924,187,93,03,YTH,X12
971147947482,10,270120250924,549,96057,02,YTH,X13
971472964066,10,270120250924,266,56,02,BSC,X11
971836003372,10,270120250924,375,977,01,STD,X11
971945818671,10,270120250924,028,289,02,STD,X12
971863495750,10,270120250924,527,213,02,YTH,X11
971264099295,10,270120250924,135,1654,03,BSC,X13
971489251981,10,270120250924,145,388,01,YTH,X10
971090991575,10,270120250924,459,36,02,YTH,X10
971253956300,10,270120250924,060,22558,02,YTH,X11
971226833827,10,270120250924,165,99018,03,BSC,X11
971179027432,10,270120250924,425,63,03,SPL,X12
971281458614,10,270120250924,489,917,02,STD,X10
971291425432,10,270120250924,287,6779,01,STD,X11
971686016438,10,270120250924,169,1830,01,BSC,X11
971404700051,10,270120250924,343,1021,02,BSC,X10
971532339457,10,270120250924,059,1183,02,BSC,X13
971476724921,10,270120250924,386,1983,03,YTH,X11
971922761144,10,270120250924,219,30754,03,STD,X13
