MSIDN,EventType,EventDateAndTime,ServiceClass,RechargeAmount,PaymentMethod,Category,Location
971814661887,10,280120251027,036,43,01,STD,X12
971705979296,10,280120251027,141,82,03,SPL,X11
971760194119,10,280120251027,468,23012,01,STD,X12
971883104082,10,280120251027,336,340,01,YTH,X10
971995731492,10,280120251027,246,6691,02,STD,X13
971467057626,10,280120251027,419,65775,01,STD,X13
971729866942,10,280120251027,453,95186,02,YTH,X10
971933653565,10,280120251027,324,23443,01,YTH,X10
971033907857,10,280120251027,250,953,02,BSC,X13
971879670839,10,280120251027,290,68522,02,SPL,X11
971784738787,10,280120251027,542,29,01,SPL,X11
971238926335,10,280120251027,118,76,03,YTH,X13
971135801636,10,280120251027,502,40205,01,SPL,X10
971821764348,10,280120251027,323,51,03,BSC,X11
971357862682,10,280120251027,189,715,02,YTH,X11
971677934238,10,280120251027,085,3431,03,BSC,X12
971429485268,10,280120251027,035,63030,01,BSC,X11
971170647171,10,280120251027,423,19514,01,SPL,X10
971055754977,10,280120251027,122,32209,03,STD,X13
971945794427,10,280120251027,051,580,01,BSC,X13
971930668620,10,280120251027,045,24,01,STD,X12
971319798105,10,280120251027,323,2537,03,BSC,X10
971754639400,10,280120251027,238,70,03,YTH,X12
971017258858,10,280120251027,354,95315,03,STD,X13
971827783148,10,280120251027,170,90,03,SPL,X10
971339140585,10,280120251027,184,137,03,YTH,X12
971644540000,10,280120251027,466,92872,02,YTH,X10
971306321185,10,280120251027,035,7654,03,BSC,X13
971597446394,10,280120251027,100,64,03,STD,X11
971702973224,10,280120251027,089,6267,01,BSC,X13
971586290316,10,280120251027,476,83,01,YTH,X11
971425608562,10,280120251027,367,272,01,YTH,X11
971608714866,10,280120251027,170,393,01,BSC,X12
971671028892,10,280120251027,255,54594,02,SPL,X11
971692511329,10,280120251027,042,77,01,STD,X12
971915712322,10,280120251027,184,400,01,YTH,X11
971374668844,10,280120251027,596,70,02,SPL,X12
971903583981,10,280120251027,129,806,03,BSC,X11
971843921935,10,280120251027,078,321,02,STD,X13
971024397837,10,280120251027,393,239,01,STD,X11
971607128060,10,280120251027,554,3499,03,STD,X10
971597179243,10,280120251027,269,61,01,YTH,X12
971103078519,10,280120251027,458,52,01,BSC,X13
971187926603,10,280120251027,583,88,01,YTH,X10
971464696510,10,280120251027,515,562,02,YTH,X10
971835362821,10,280120251027,074,6508,03,BSC,X10
971897684828,10,280120251027,563,58,03,BSC,X13
971961513810,10,280120251027,360,3125,02,BSC,X10
971438043309,10,280120251027,395,596,01,YTH,X13
971806220555,10,280120251027,409,79,01,BSC,X12
971729915944,10,280120251027,287,45,01,YTH,X13
971392093962,10,280120251027,290,78,03,STD,X13
971466758377,10,280120251027,193,85,03,SPL,X10
971618138174,10,280120251027,095,2704,03,BSC,X12
971069196438,10,280120251027,441,108,03,BSC,X13
971916281517,10,280120251027,232,582,03,STD,X10
971618789785,10,280120251027,303,8591,01,SPL,X11
971951766271,10,280120251027,188,22386,01,BSC,X12
971444952668,10,280120251027,436,80226,03,SPL,X10
971039134221,10,280120251027,372,40,02,SPL,X12
971234964409,10,280120251027,365,4263,03,SPL,X12
971700032819,10,280120251027,079,44,01,STD,X13
971228507129,10,280120251027,010,94,01,SPL,X11
971575763165,10,280120251027,205,57,03,YTH,X12
971381738453,10,280120251027,018,98,02,SPL,X10
971678289195,10,280120251027,009,200,01,YTH,X13
971530626880,10,280120251027,147,26,03,BSC,X13
971772299510,10,280120251027,548,94332,03,STD,X13
971432859941,10,280120251027,145,89369,01,BSC,X10
971230312993,10,280120251027,559,119,03,STD,X13
971825869984,10,280120251027,104,383,03,BSC,X11
971899315081,10,280120251027,564,20687,03,SPL,X10
971907095139,10,280120251027,252,93364,02,STD,X12
971589635101,10,280120251027,134,7153,01,BSC,X12
971648141975,10,280120251027,364,942,02,SPL,X11
971371843778,10,280120251027,312,83780,03,STD,X13
971114331292,10,280120251027,463,85,03,YTH,X12
971632348702,10,280120251027,299,5727,02,SPL,X11
971180559552,10,280120251027,354,4709,03,BSC,X10
971504581077,10,280120251027,472,47200,02,SPL,X12
971881428582,10,280120251027,079,7215,02,SPL,X12
971764715944,10,280120251027,504,90,03,YTH,X10
971761048196,10,280120251027,243,85,01,SPL,X10
971428745872,10,280120251027,170,25462,03,STD,X13
971189578094,10,280120251027,304,92,01,YTH,X13
971596325381,10,280120251027,406,49048,02,YTH,X11
971847121266,10,280120251027,025,57,03,STD,X13
971193801951,10,280120251027,059,89,03,BSC,X11
971180373881,10,280120251027,085,1732,01,SPL,X12
971337518768,10,280120251027,211,66142,02,SPL,X12
971541770253,10,280120251027,514,18304,01,YTH,X12
971684259838,10,280120251027,178,6021,03,YTH,X12
971992507501,10,280120251027,073,96006,02,BSC,X10
971124159886,10,280120251027,361,85291,02,STD,X13
971808007506,10,280120251027,598,98,01,BSC,X13
971131729194,10,280120251027,091,31257,03,BSC,X13
971532450446,10,280120251027,203,165,02,BSC,X11
971843654473,10,280120251027,566,988,03,SPL,X11
971530094107,10,280120251027,496,21,03,STD,X10
971307569128,10,280120251027,583,33,03,BSC,X12
971291267704,10,280120251027,179,168,01,BSC,X12
971246538403,10,280120251027,009,83331,02,SPL,X10
971208908195,10,280120251027,247,7547,01,YTH,X10
971095216652,10,280120251027,098,328,01,STD,X11
971385991222,10,280120251027,205,82522,02,STD,X13
971365923798,10,280120251027,061,56348,03,YTH,X10
971164014353,10,280120251027,424,743,03,SPL,X13
971398960769,10,280120251027,555,169,02,STD,X11
971620096614,10,280120251027,579,5396,01,SPL,X11
971857479542,10,280120251027,219,77584,03,BSC,X10
971030718874,10,280120251027,529,52,02,STD,X11
