MSIDN,EventType,EventDateAndTime,ServiceClass,RechargeAmount,PaymentMethod,Category,Location
971706569150,10,280120251026,177,83792,03,STD,X10
971798803771,10,280120251026,557,929,03,YTH,X12
971226157974,10,280120251026,024,94,01,YTH,X11
971874400100,10,280120251026,117,86,03,STD,X13
971351603806,10,280120251026,096,77,02,STD,X12
971309023041,10,280120251026,218,4230,01,SPL,X13
971971878208,10,280120251026,026,553,03,BSC,X10
971593068660,10,280120251026,310,3836,03,BSC,X12
971145000087,10,280120251026,098,5757,01,YTH,X13
971227027856,10,280120251026,396,482,01,STD,X11
971097912404,10,280120251026,163,73,03,SPL,X13
971487665176,10,280120251026,533,14401,03,BSC,X10
971717538356,10,280120251026,527,56923,01,BSC,X12
971239015093,10,280120251026,036,2691,01,STD,X11
971722260295,10,280120251026,436,55882,03,YTH,X11
971861106337,10,280120251026,324,388,01,YTH,X13
971772207426,10,280120251026,273,69846,01,YTH,X10
971675699082,10,280120251026,094,7452,01,STD,X11
971690388270,10,280120251026,066,75,01,YTH,X10
971982072275,10,280120251026,464,63,03,YTH,X11
971735928197,10,280120251026,170,9107,01,SPL,X12
971791152286,10,280120251026,269,723,02,YTH,X11
971035371446,10,280120251026,055,399,03,YTH,X13
971014908162,10,280120251026,324,3822,01,SPL,X11
971701313050,10,280120251026,442,170,02,SPL,X10
971544662076,10,280120251026,013,60,02,BSC,X12
971725368802,10,280120251026,414,6653,02,YTH,X13
971679700798,10,280120251026,120,54,01,SPL,X11
971965319221,10,280120251026,557,8998,03,YTH,X13
971991822544,10,280120251026,532,8277,02,SPL,X11
971054200281,10,280120251026,451,1872,02,SPL,X11
971758558315,10,280120251026,024,98,01,STD,X11
971111682101,10,280120251026,443,16210,01,YTH,X12
971504268445,10,280120251026,438,6468,03,BSC,X10
971724227654,10,280120251026,025,93,02,STD,X13
971624895311,10,280120251026,448,71609,02,BSC,X13
971941347302,10,280120251026,053,8045,02,BSC,X10
971128056275,10,280120251026,152,93,01,YTH,X12
971984223499,10,280120251026,562,32729,01,YTH,X10
971792321980,10,280120251026,245,87,02,BSC,X13
971582826298,10,280120251026,477,27413,02,BSC,X11
971113650596,10,280120251026,423,910,01,STD,X10
971104579561,10,280120251026,370,5604,01,STD,X10
971414644102,10,280120251026,047,7054,03,YTH,X12
971440801866,10,280120251026,470,29630,03,SPL,X13
971771095389,10,280120251026,013,458,01,BSC,X11
971629352267,10,280120251026,515,8442,02,BSC,X11
971929326965,10,280120251026,481,64028,03,STD,X13
971834918667,10,280120251026,530,50029,03,BSC,X12
971432574672,10,280120251026,121,6115,01,SPL,X12
971142587360,10,280120251026,003,44843,01,YTH,X11
971422213123,10,280120251026,100,6930,02,SPL,X10
971338747624,10,280120251026,214,44,02,SPL,X13
971397455373,10,280120251026,422,38,02,SPL,X10
971096803245,10,280120251026,018,130,01,SPL,X13
971942234354,10,280120251026,335,575,03,BSC,X10
971961837992,10,280120251026,519,12,03,YTH,X13
971832658077,10,280120251026,421,9583,01,STD,X10
971627406541,10,280120251026,106,74,01,STD,X11
971478408228,10,280120251026,085,57,01,STD,X11
971302428827,10,280120251026,100,62088,02,SPL,X11
971053871581,10,280120251026,085,28,01,STD,X10
971165730982,10,280120251026,436,89776,03,YTH,X10
971826442776,10,280120251026,143,78,02,STD,X12
971998455009,10,280120251026,053,666,03,YTH,X11
971333371472,10,280120251026,544,42950,03,SPL,X11
971032202200,10,280120251026,201,15653,02,STD,X11
971216275446,10,280120251026,531,42807,01,BSC,X13
971282669497,10,280120251026,220,6519,03,BSC,X13
971348713421,10,280120251026,311,57231,03,YTH,X12
971091142150,10,280120251026,449,78,03,STD,X10
