MSIDN,EventType,EventDateAndTime,ServiceClass,RechargeAmount,PaymentMethod,Category,Location
971992383823,10,300120251024,298,15864,03,BSC,X13
971522494505,10,300120251024,219,72,01,SPL,X13
971393297634,10,300120251024,072,84874,03,SPL,X12
971675772619,10,300120251024,014,429,03,STD,X10
971686909443,10,300120251024,322,425,02,YTH,X12
971561160719,10,300120251024,530,5682,01,STD,X13
971114699775,10,300120251024,086,10207,02,SPL,X13
971362606386,10,300120251024,443,9296,01,STD,X11
971446265287,10,300120251024,003,7740,01,BSC,X12
971400055191,10,300120251024,242,39888,02,BSC,X12
971162638622,10,300120251024,572,640,01,SPL,X11
971713122228,10,300120251024,448,623,02,STD,X11
971173518805,10,300120251024,315,6249,03,SPL,X12
971634262982,10,300120251024,223,2348,02,STD,X10
971910716539,10,300120251024,446,861,03,BSC,X13
971730094371,10,300120251024,231,853,01,YTH,X10
971615473639,10,300120251024,565,8259,03,SPL,X10
971332267492,10,300120251024,408,71,03,SPL,X13
971330342902,10,300120251024,349,23,01,SPL,X12
971291463233,10,300120251024,122,92961,01,YTH,X11
971617588342,10,300120251024,369,209,01,BSC,X13
971848645275,10,300120251024,007,6965,02,STD,X10
971990068179,10,300120251024,363,4094,02,YTH,X13
971139841279,10,300120251024,298,43,03,BSC,X10
971211248468,10,300120251024,231,30210,02,BSC,X10
971121770433,10,300120251024,278,587,02,SPL,X13
971340035864,10,300120251024,084,91,01,YTH,X12
971539065752,10,300120251024,022,5933,03,BSC,X13
971581235417,10,300120251024,572,72321,03,SPL,X10
971535092089,10,300120251024,040,825,01,STD,X13
971114048566,10,300120251024,110,65,02,YTH,X12
971411023722,10,300120251024,218,829,03,YTH,X10
971468025018,10,300120251024,090,8436,03,SPL,X10
971976223061,10,300120251024,031,96134,02,SPL,X13
971367657950,10,300120251024,283,379,03,STD,X13
971767625939,10,300120251024,010,98,03,STD,X11
971588923597,10,300120251024,335,53346,01,YTH,X10
971109811307,10,300120251024,504,76772,03,SPL,X12
971099837170,10,300120251024,130,3204,01,BSC,X11
971375836552,10,300120251024,465,307,01,STD,X10
971900752475,10,300120251024,348,17695,02,SPL,X11
971319782231,10,300120251024,501,70,01,YTH,X12
971808288797,10,300120251024,307,93,01,BSC,X11
971338742794,10,300120251024,205,2733,03,BSC,X13
971366522102,10,300120251024,530,35,02,SPL,X12
971821369338,10,300120251024,127,5826,03,YTH,X10
971445440220,10,300120251024,167,21527,01,STD,X11
971834075954,10,300120251024,473,72132,03,SPL,X11
971489845055,10,300120251024,408,9069,01,STD,X13
971516606268,10,300120251024,200,43,01,BSC,X13
971661139505,10,300120251024,338,9309,01,BSC,X13
971593627059,10,300120251024,230,8186,01,BSC,X13
971795382999,10,300120251024,475,747,01,SPL,X11
971010264918,10,300120251024,250,51744,03,YTH,X13
971993863690,10,300120251024,593,11389,01,YTH,X10
971114100918,10,300120251024,096,292,03,YTH,X10
971203020426,10,300120251024,583,28,03,STD,X11
971024663028,10,300120251024,597,950,01,SPL,X13
971209291784,10,300120251024,405,8175,03,SPL,X11
971987040040,10,300120251024,561,440,03,YTH,X12
971194214718,10,300120251024,336,82,03,STD,X10
971388767631,10,300120251024,041,116,03,BSC,X10
971993668683,10,300120251024,422,996,02,SPL,X12
971609945969,10,300120251024,406,849,01,BSC,X10
971120837473,10,300120251024,596,772,01,BSC,X12
971698573131,10,300120251024,242,742,03,BSC,X12
971169634410,10,300120251024,200,21665,02,YTH,X13
971178258132,10,300120251024,571,6108,01,SPL,X13
971692879885,10,300120251024,306,12977,03,YTH,X13
971331299827,10,300120251024,531,62,01,YTH,X12
