MSIDN,EventType,EventDateAndTime,ServiceClass,RechargeAmount,PaymentMethod,Category,Location
971274551281,10,240120251815,307,31031,02,SPL,X13
971807003297,10,240120251815,546,31,01,STD,X12
971691124742,10,240120251815,375,4955,03,BSC,X11
971529764078,10,240120251815,567,751,03,BSC,X11
971954470399,10,240120251815,023,526,01,STD,X10
971690245664,10,240120251815,031,77344,03,YTH,X11
971401525769,10,240120251815,315,93,03,STD,X11
971408869865,10,240120251815,150,33,02,YTH,X10
971388052276,10,240120251815,508,46,03,SPL,X11
971146176634,10,240120251815,245,7405,03,STD,X12
971601329073,10,240120251815,144,242,02,BSC,X13
971302930100,10,240120251815,500,5268,01,STD,X10
971779607378,10,240120251815,110,82313,01,SPL,X13
971359371117,10,240120251815,262,415,01,YTH,X13
971527122186,10,240120251815,071,26,02,STD,X10
971858175734,10,240120251815,552,649,03,SPL,X13
971714506723,10,240120251815,216,68071,02,STD,X12
971747853367,10,240120251815,059,340,03,SPL,X11
971252355877,10,240120251815,575,100,02,STD,X13
971350332360,10,240120251815,308,51695,01,SPL,X12
971339706928,10,240120251815,317,348,02,YTH,X10
971626864240,10,240120251815,034,34,01,STD,X10
971805671628,10,240120251815,281,7033,02,BSC,X10
971123371097,10,240120251815,001,332,02,SPL,X10
971880106692,10,240120251815,427,7460,01,SPL,X11
971360028957,10,240120251815,380,2430,03,YTH,X13
971166891470,10,240120251815,006,420,01,SPL,X11
971529191595,10,240120251815,186,1702,03,STD,X13
971524693109,10,240120251815,448,87098,01,BSC,X11
971726840158,10,240120251815,522,400,03,YTH,X13
971474877051,10,240120251815,010,1637,01,STD,X11
971751404243,10,240120251815,107,60,02,YTH,X11
971894667743,10,240120251815,588,87,01,STD,X12
971012936422,10,240120251815,128,12990,02,YTH,X12
971239001162,10,240120251815,091,66,03,BSC,X10
971645325777,10,240120251815,252,477,03,BSC,X11
971706475962,10,240120251815,319,588,01,BSC,X13
971800475934,10,240120251815,458,22507,03,YTH,X10
971431471449,10,240120251815,126,668,01,BSC,X11
971238421103,10,240120251815,556,340,01,BSC,X10
971190354521,10,240120251815,072,253,01,STD,X13
971008005924,10,240120251815,293,446,01,SPL,X11
971945899570,10,240120251815,180,52297,03,BSC,X11
971886949188,10,240120251815,241,9623,02,STD,X13
971458551868,10,240120251815,142,57,03,BSC,X13
971585737889,10,240120251815,401,37,01,YTH,X13
971499925924,10,240120251815,206,7455,03,STD,X13
971569569022,10,240120251815,122,17103,02,STD,X10
971470333090,10,240120251815,119,538,02,STD,X11
971816062208,10,240120251815,561,368,01,BSC,X12
971161305044,10,240120251815,191,35370,02,STD,X13
971457331916,10,240120251815,248,1000,01,BSC,X10
971772017035,10,240120251815,409,677,03,SPL,X10
971778715392,10,240120251815,543,1541,01,STD,X12
971288897678,10,240120251815,135,2796,01,BSC,X13
971477925312,10,240120251815,415,48705,01,YTH,X12
971929021307,10,240120251815,167,8497,03,SPL,X12
971783973580,10,240120251815,444,2103,03,YTH,X13
971535680007,10,240120251815,242,10,02,STD,X11
971538995517,10,240120251815,270,48,02,YTH,X11
971851238445,10,240120251815,196,57328,03,BSC,X13
971073085412,10,240120251815,373,93114,02,SPL,X11
971234974151,10,240120251815,530,769,02,YTH,X12
971965733217,10,240120251815,263,104,02,SPL,X10
971540250228,10,240120251815,321,7383,02,STD,X10
971983061750,10,240120251815,519,6909,03,STD,X13
971594209063,10,240120251815,149,7097,03,SPL,X13
971849010475,10,240120251815,439,70787,03,YTH,X10
971440588699,10,240120251815,254,86727,02,STD,X11
971208698114,10,240120251815,227,1226,02,SPL,X11
971622535296,10,240120251815,293,9222,03,SPL,X11
971900631813,10,240120251815,322,579,02,BSC,X13
971991986450,10,240120251815,293,4419,03,BSC,X10
971109098117,10,240120251815,598,441,03,SPL,X13
971006167968,10,240120251815,486,6025,03,BSC,X11
971751421971,10,240120251815,513,92,03,YTH,X10
971748794164,10,240120251815,307,67411,01,SPL,X11
971252533378,10,240120251815,300,79591,01,YTH,X12
