MSIDN,EventType,EventDateAndTime,ServiceClass,RechargeAmount,PaymentMethod,Category,Location
971817782167,10,240120251814,464,111,02,SPL,X11
971637038286,10,240120251814,013,76,03,YTH,X13
971651572737,10,240120251814,188,65501,02,YTH,X13
971327467888,10,240120251814,122,51353,02,YTH,X13
971961283318,10,240120251814,201,7395,01,STD,X13
971152476313,10,240120251814,142,83,03,SPL,X10
971360915797,10,240120251814,176,27794,02,STD,X12
971153181806,10,240120251814,103,94987,01,STD,X11
971686402087,10,240120251814,069,1457,03,SPL,X11
971213496294,10,240120251814,054,2457,01,BSC,X13
971117083106,10,240120251814,369,77,02,STD,X10
971120934631,10,240120251814,320,870,03,YTH,X13
971094493104,10,240120251814,274,191,03,BSC,X10
971769773093,10,240120251814,340,62,03,STD,X13
971160153781,10,240120251814,140,2139,03,YTH,X12
971258798865,10,240120251814,413,699,03,SPL,X13
971098156908,10,240120251814,067,59,03,SPL,X10
971237258323,10,240120251814,398,6036,02,YTH,X13
971354639362,10,240120251814,031,4286,01,STD,X11
971074462017,10,240120251814,481,25015,02,YTH,X11
971598664967,10,240120251814,212,1328,02,YTH,X11
971487027159,10,240120251814,425,39681,01,SPL,X11
971466338280,10,240120251814,553,14845,03,YTH,X13
971530431199,10,240120251814,552,7602,01,STD,X13
971267435283,10,240120251814,057,2974,03,BSC,X13
971674675795,10,240120251814,171,72,03,SPL,X12
971485404108,10,240120251814,183,65227,01,SPL,X13
971156000790,10,240120251814,097,51,02,YTH,X10
971735127546,10,240120251814,394,68667,01,YTH,X12
971186201458,10,240120251814,417,990,01,SPL,X13
971834297757,10,240120251814,205,21475,03,BSC,X10
971592669507,10,240120251814,264,873,02,STD,X10
971853800624,10,240120251814,429,90329,03,BSC,X11
971943411555,10,240120251814,423,74,02,BSC,X13
971758278924,10,240120251814,472,391,02,SPL,X12
971351592605,10,240120251814,224,3626,02,BSC,X13
971322066749,10,240120251814,114,393,02,BSC,X13
971602360305,10,240120251814,516,82898,02,STD,X10
971466193184,10,240120251814,456,1538,03,BSC,X13
971116969075,10,240120251814,564,46587,03,SPL,X13
971890851812,10,240120251814,344,85,01,STD,X11
971600127869,10,240120251814,187,79,02,YTH,X12
971316736599,10,240120251814,423,90,02,SPL,X12
971662210612,10,240120251814,156,58788,02,BSC,X13
971392518133,10,240120251814,354,35,01,SPL,X11
971919746196,10,240120251814,114,37,03,SPL,X13
971502766176,10,240120251814,459,3953,02,BSC,X11
971317400456,10,240120251814,074,28,01,BSC,X12
971445577701,10,240120251814,579,661,03,STD,X12
971581038267,10,240120251814,405,31,03,YTH,X12
971012635948,10,240120251814,495,38,02,BSC,X10
971580927693,10,240120251814,049,13995,02,SPL,X10
971137984357,10,240120251814,330,26,01,SPL,X10
971956841832,10,240120251814,551,74474,03,BSC,X11
971637026082,10,240120251814,553,1367,03,YTH,X13
971346817577,10,240120251814,303,58773,02,SPL,X11
971040943455,10,240120251814,048,732,02,BSC,X10
971182332671,10,240120251814,405,47,01,STD,X13
971340555525,10,240120251814,546,6677,01,STD,X12
971599854065,10,240120251814,321,60,02,SPL,X11
971071980296,10,240120251814,518,2682,03,YTH,X11
971400191997,10,240120251814,093,95031,03,YTH,X13
971436553640,10,240120251814,015,9993,03,YTH,X13
971543341107,10,240120251814,265,6132,03,STD,X12
971995759450,10,240120251814,008,2963,01,SPL,X10
971205021739,10,240120251814,436,1906,02,STD,X13
971519867987,10,240120251814,221,86,01,STD,X12
971614571099,10,240120251814,257,669,02,BSC,X12
971761295162,10,240120251814,499,35552,01,BSC,X13
971634452674,10,240120251814,364,36273,02,YTH,X13
971078760589,10,240120251814,520,6780,02,YTH,X10
971007268497,10,240120251814,139,282,03,BSC,X10
971499891813,10,240120251814,047,94,02,STD,X13
971727548169,10,240120251814,146,484,01,SPL,X11
971205185477,10,240120251814,511,77,01,STD,X12
971685070331,10,240120251814,577,42000,01,SPL,X13
971640822080,10,240120251814,303,5494,03,STD,X10
971396682593,10,240120251814,486,196,02,YTH,X13
971890079104,10,240120251814,002,895,02,SPL,X10
971121915455,10,240120251814,122,2106,03,YTH,X12
971960224499,10,240120251814,574,147,02,BSC,X11
971204927600,10,240120251814,166,32528,02,STD,X12
971650426176,10,240120251814,369,60437,01,YTH,X12
971585295786,10,240120251814,472,25,02,YTH,X13
971387809311,10,240120251814,166,19287,02,SPL,X10
971639659941,10,240120251814,564,77438,01,BSC,X11
971367721963,10,240120251814,271,3694,03,YTH,X11
971413397558,10,240120251814,160,5220,03,YTH,X10
971968858976,10,240120251814,489,563,03,STD,X11
971737399604,10,240120251814,023,3533,02,BSC,X12
971391473678,10,240120251814,327,243,03,BSC,X12
971089358007,10,240120251814,211,171,03,SPL,X11
971645958813,10,240120251814,005,65663,01,YTH,X11
971131442124,10,240120251814,320,3897,02,SPL,X10
971778303634,10,240120251814,504,2553,03,SPL,X12
971770868649,10,240120251814,114,113,03,BSC,X10
971779754196,10,240120251814,234,517,02,SPL,X10
971471335426,10,240120251814,091,9901,02,YTH,X13
971117901126,10,240120251814,369,916,03,STD,X11
971236218247,10,240120251814,247,50237,03,SPL,X10
971766820048,10,240120251814,498,97221,03,SPL,X11
971685650390,10,240120251814,551,88640,03,BSC,X10
971295178773,10,240120251814,536,2181,03,STD,X11
971091254232,10,240120251814,565,85163,03,SPL,X12
971701459113,10,240120251814,305,435,01,STD,X10
971485466021,10,240120251814,314,29048,01,YTH,X13
971096167619,10,240120251814,364,91,03,YTH,X10
971699180413,10,240120251814,112,514,01,SPL,X12
971179311446,10,240120251814,121,11878,01,YTH,X12
971062512789,10,240120251814,015,1866,03,STD,X10
