MSIDN,EventType,EventDateAndTime,ServiceClass,RechargeAmount,PaymentMethod,Category,Location
971362884248,10,270120250927,582,343,03,STD,X13
971940815606,10,270120250927,582,65,02,SPL,X11
971867923644,10,270120250927,260,483,03,BSC,X13
971834681691,10,270120250927,219,12,02,YTH,X11
971420050632,10,270120250927,480,48,01,SPL,X10
971473217924,10,270120250927,091,18429,01,YTH,X10
971869152681,10,270120250927,262,22077,03,SPL,X12
971031312135,10,270120250927,143,9560,03,SPL,X11
971865647931,10,270120250927,190,234,02,YTH,X13
971295600869,10,270120250927,157,67,01,STD,X11
971937791787,10,270120250927,152,27,03,YTH,X12
971249629081,10,270120250927,142,30,03,YTH,X13
971551585587,10,270120250927,191,75747,01,YTH,X10
971884293214,10,270120250927,020,45684,02,SPL,X10
971853874356,10,270120250927,331,758,02,STD,X10
971421457943,10,270120250927,021,10789,03,SPL,X12
971035732373,10,270120250927,561,975,03,STD,X10
971154554160,10,270120250927,472,1642,01,SPL,X11
971002783791,10,270120250927,355,10,01,YTH,X13
971566908372,10,270120250927,274,17849,02,YTH,X11
971441120456,10,270120250927,332,21,01,BSC,X10
971137255249,10,270120250927,133,5416,02,SPL,X11
971681661061,10,270120250927,114,28664,01,YTH,X13
971827436815,10,270120250927,435,99799,03,BSC,X13
971036660352,10,270120250927,157,52,02,STD,X10
971380502807,10,270120250927,462,22827,01,YTH,X12
971934332911,10,270120250927,399,44,03,BSC,X11
971214605455,10,270120250927,509,10908,01,BSC,X12
971429254296,10,270120250927,185,79,03,YTH,X13
971529199165,10,270120250927,392,980,03,SPL,X11
971439431905,10,270120250927,261,86079,02,SPL,X13
971158193896,10,270120250927,457,2209,01,BSC,X13
971260100007,10,270120250927,383,1050,03,BSC,X10
971647955763,10,270120250927,412,6385,02,BSC,X10
971771573821,10,270120250927,086,347,01,BSC,X13
971420338234,10,270120250927,561,906,03,YTH,X10
971958774525,10,270120250927,035,27183,01,SPL,X12
971259413291,10,270120250927,238,276,03,YTH,X13
971786273361,10,270120250927,177,1113,01,YTH,X11
971839084341,10,270120250927,163,32,02,SPL,X10
971357963492,10,270120250927,081,2120,01,SPL,X12
971132933192,10,270120250927,250,668,02,STD,X10
971948183561,10,270120250927,051,59,03,STD,X12
971644019117,10,270120250927,210,848,03,SPL,X10
